question,answer
Quando viene confermata la prenotazione?,"Se paghi con carta di credito/debito, al termine della procedura online viene visualizzata la pagina di conferma. Riceverai inoltre la copia del tuo itinerario via email. Se non hai ricevuto l'email di conferma (con l'itinerario), controlla le impostazioni dei filtri della tua casella di posta elettronica ed eventuali caselle a cui vengono recapitati i messaggi filtrati. Il riepilogo del volo include il codice di codice di conferma, le date, la tariffa totale e tutti i dettagli necessari. Tali informazioni sono inoltre disponibili nel tuo profilo Wizz Air in ""Tutti i viaggi imminenti""."
Quali metodi di pagamento accetta Wizz Air?,"Accettiamo carte di credito e debito Visa, Visa Electron, MasterCard, Maestro, Bancontact e UATP. Le carte in co-branding WIZZ sono ugualmente accettate. Tieni presente che le carte Visa Electron e Maestro sono accettate solo se sono registrate al servizio 3D Secure per gli acquisti su Internet (rispettivamente Verified by Visa e MasterCard SecureCode). Se non disponi di una carta di credito o di debito oppure se la tua carta non è accettata, puoi pagare il volo tramite bonifico bancario o utilizzando il credito del tuo conto WIZZ. In alternativa, puoi utilizzare anche un voucher WIZZ. L'eventuale importo rimanente dovrà essere pagato con carta."
Quando occorre effettuare il pagamento tramite bonifico bancario?,Il pagamento deve essere effettuato entro 24 ore dalla prenotazione. La conferma della prenotazione potrebbe richiedere da 4 a 5 giorni lavorativi.
Come faccio a sapere se Wizz Air ha ricevuto il bonifico?,"Se non ricevi una conferma della prenotazione entro 5 giorni lavorativi dalla data del bonifico o se lo stato della prenotazione risulta ancora in sospeso nel tuo Profilo Wizz Air, contatta il call center di Wizz Air per verificare che il pagamento sia andato a buon fine. Non inviare conferme del pagamento se non richiesto."
Ho prenotato un volo ma l'importo addebitato sulla carta di credito è inesatto. Cosa fare?,"Contatta l'ente emittente della carta di credito per identificare il problema. Se la causa non è dovuta a un ulteriore addebito della banca o alla differenza dovuta ai tassi di cambio, chiama il call center di Wizz Air oppure invia un reclamo selezionando la categoria ""Errore di pagamento""."
Perché l'importo addebitato sulla mia carta di credito/debito è diverso da quello riportato nella conferma della prenotazione?,"I pagamenti effettuati con carta di credito o debito vengono elaborati attraverso un sistema di elaborazione internazionale. Se il prezzo finale proposto è riportato in una valuta diversa da EUR o GBP, è possibile che l'importo addebitato sulla carta di credito o di debito sia diverso (e possibilmente maggiore) rispetto al prezzo finale indicato nella conferma della prenotazione. Tale differenza è dovuta alla conversione di valuta risultante dal sistema di elaborazione internazionale dei pagamenti con carta di credito."
Ho effettuato una prenotazione ieri ma le tariffe oggi sono più vantaggiose. Come posso riscattare la differenza?,"Di norma, prima prenoti più basse sono le tariffe. Tuttavia, talvolta tra la data della prenotazione e quella del viaggio possono essere attivate delle promozioni. Purtroppo, tali promozioni non danno diritto al riscatto della differenza tra la tariffa pagata per la prenotazione e la tariffa scontata."
Cosa fare se la carta viene rifiutata?,"Verifica di disporre di fondi sufficienti per coprire l'intero importo. Se il problema persiste, contatta la banca e verifica se la tua carta supporta i servizi di pagamento online o se vige un limite di spesa."
"Ho prenotato un volo richiedendo il pagamento tramite bonifico bancario, ma vorrei cambiare metodo e pagare con carta di credito. È possibile?",Per cambiare metodo e pagare con carta di credito è necessario effettuare una nuova prenotazione alle tariffe correnti.
È necessario stampare l'email di conferma o l'itinerario di viaggio ed esibirli al check-in?,"No. È sufficiente stampare ed esibire la carta di imbarco se hai effettuato il check-in online. Se il check-in online non è disponibile nell'aeroporto di partenza, recati al banco del check-in nell'aeroporto ed esibisci esclusivamente il documento di viaggio (passaporto o documento di identità)."
Ho specificato il numero del documento di identità durante la procedura di check-in online e stampato la carta di imbarco. Posso viaggiare con il passaporto?,"Presso l'aeroporto è necessario esibire lo stesso documento di viaggio utilizzato per il check-in online. Se hai specificato il numero del documento di identità durante il check-in, non puoi viaggiare con il passaporto e vice versa."
Durante la procedura di check-in online non mi è stato richiesto un documento di viaggio. Come mai?,"Se viaggi nell'area di Schengen, non occorre compilare i dati del documento di viaggio. È sufficiente completare la procedura di check-in online. Per il viaggio occorre essere in possesso di un documento di identità o del passaporto, ma non è richiesto specificare i dati del documento di viaggio."
Ho provato a effettuare il check-in online ma non sono riuscito a completare la procedura. Cosa fare?,"Il check-in online è disponibile da 30 giorni fino a 3 ore prima dell'orario di partenza previsto per il volo se hai acquistato un posto durante la prenotazione. Se non hai acquistato un posto con la prenotazione, il check-in sarà disponibile solo 48 ore prima della partenza per ciascun volo. Puoi inoltre scaricare l'app mobile di Wizz Air e fare il check-in tramite l'app. Per alcune località, il check-in online non è disponibile. In tal caso, il check-in in aeroporto sarà disponibile gratuitamente. Se il problema con il check-in persiste, contatta il call center di Wizz Air ."
"Ho provato a effettuare il check-in tramite l'app mobile, ma un messaggio indica che l'aeroporto non accetta ancora carte di imbarco su dispositivo mobile. Cosa fare?","Visita il sito wizzair.com e stampa la carta di imbarco, quindi portala con te in aeroporto."
"Ho fatto il check-in per il volo di andata, ma non riesco a farlo per il volo di ritorno. Come mai?","Se non hai posti assegnati sul volo di ritorno, il check-in sarà disponibile a partire da 48 ore prima della partenza del volo."
Ho inserito dati errati per i documenti di viaggio durante il check-in online. Cosa fare?,"Quando effettui il check-in online, assicurati di inserire correttamente i tuoi documenti di viaggio. Se hai fatto qualche errore, per apportare le necessarie correzioni contatta il call center di Wizz Air."
Il check-in in aeroporto è sempre a pagamento?,"Il check-in in aeroporto può essere acquistato durante o dopo la prenotazione aggiungendo l'opzione alla prenotazione nella pagina di riepilogo del viaggio oppure chiamando il Call center di Wizz Air . Il check-in in aeroporto è soggetto a un supplemento, per passeggero e per volo. Il supplemento per il check-in in aeroporto è maggiore se acquistato presso l'aeroporto. Se il servizio di check-in online non è ancora disponibile per l'aeroporto di partenza, il check-in in aeroporto sarà gratuito."
Ho prenotato un posto in più per trasportare uno strumento musicale. Posso effettuare il check-in online?,Sì. Il check-in per lo strumento musicale deve avvenire contestualmente a quello del passeggero ed essere associato agli stessi documenti di viaggio.
È necessario effettuare il check-in per i bambini piccoli?,"Anche per i neonati occorre effettuare il check-in e stampare la carta di imbarco. Se la carta di imbarco del neonato non è disponibile, contatta il Call center di Wizz Air."
Qual è la procedura per imbarcare il bagaglio se ho già effettuato il check-in online?,"Procedi con il check-in online come di consueto. Se viaggi con bagaglio da imbarcare, recati al banco di consegna bagagli non oltre 40 minuti prima della partenza del volo. Accertati di avere con te la carta di imbarco stampata, in caso contrario ti verrà richiesto di pagare il supplemento per il check-in in aeroporto. Presso l'aeroporto, il banco del check-in funge anche da banco per la consegna del bagaglio da stiva."
È possibile cambiare la prenotazione o acquistare servizi dopo aver effettuato il check-in online?,"È possibile aggiungere servizi aggiuntivi alla prenotazione anche dopo il check-in. Se hai aggiunto l'imbarco prioritario o la scelta del posto alla prenotazione, occorre - stampare nuovamente la carta di imbarco oppure - procedere con il check-in in aeroporto per ricevere un adesivo che rifletta le modifiche alla carta di imbarco esistente. In alternativa, puoi cambiare volo e nome del passeggero fino a 4 ore prima della partenza sul sito web o tramite il Call center di Wizz Air La procedura richiede il pagamento delle spese per cambio di nome. Se richiedi una modifica al Call center di Wizz Air ti verranno addebitati anche i costi di servizio. Le spese del call center non sono rimborsabili. Se desideri cambiare la data, l'orario o la rotta del volo solo per alcuni passeggeri inclusi nella prenotazione, dovrai contattare il Call center per ricevere assistenza. In tal caso, i costi di servizio del Call center non verranno applicati. Nota: se hai cambiato il volo o il nome del passeggero, sarà necessario effettuare nuovamente il check-in e stampare la nuova carta di imbarco."
Quando occorre specificare i nomi dei passeggeri?,"I nomi dei passeggeri devono essere specificati online non oltre 72 ore prima della partenza e dopo aver effettuato il pagamento completo. Accertati di aver ricevuto l'email di conferma finale della prenotazione (con i nomi dei passeggeri) prima della partenza, in caso contrario potrebbe essere richiesto il pagamento delle spese per cambio di nome per ciascun passeggero. Se non ricevi l'email entro 2 giorni prima della partenza, contatta il call center di Wizz Air ."
"Posso ancora portare un cappotto, un asciugamano o una coperta in cabina?","Sì, è possibile potare i seguenti articoli personali a bordo gratuitamente: Cappotto o coperta, telefono cellulare, materiale da leggere durante il volo, prodotti acquistati presso i negozi duty free, articoli per bambini di età inferiore ai due anni: Cibo per la durata del volo; un paio di stampelle per passeggeri con disabilità."
Cosa succede se il mio trolley deve essere posizionato nella stiva a causa di restrizioni operative?,Il trolley verrà posizionato nella stiva gratuitamente e potrà essere ritirato presso il ritiro bagagli dell'aeroporto di arrivo.
Se ho solo un articolo piccolo che rientra nelle dimensioni di 40x30x20 cm posso portarlo a bordo senza acquistare il servizio WIZZ Priority? È previsto un limite di peso per l'articolo aggiuntivo?,"Sì, se hai un bagaglio a mano di dimensioni non superiori a 40x30x20 cm e peso massimo di 10 kg puoi portarlo in cabina senza acquistare WIZZ Priority. Il bagaglio a mano deve rientrare sotto al sedile davanti a te."
Cosa succede se il mio bagaglio a mano (40x30x20 cm) non rientra nel misuratore?,"I passeggeri che non hanno acquistato WIZZ Priority che portano un bagaglio a mano di dimensioni superiori a 40x30x20 cm, dovranno pagare un supplemento di 25 EURO presso il gate. Se tale bagaglio non supera le dimensioni di 55x40x23 cm, potrà essere portato a bordo, a condizione che vi sia spazio disponibile nella cappelliera della cabina. In caso contrario, il bagaglio verrà posizionato nella stiva. I passeggeri possono rimuovere eventuali effetti personali dai bagagli che verranno posizionati nella stiva."
"Cosa succede se il mio trolley (max 55x40x23 cm), pagato con l'acquisto del servizio WIZZ Priority, non rientra nel misuratore?",I passeggeri con un trolley che supera le dimensioni di 55x40x23 cm o 10 kg dovranno pagare un supplemento di 60 EURO presso il gate. Il bagaglio verrà posizionato nella stiva.
È consentito portare una borsa da donna invece di uno zaino?,"Sì, ogni passeggero ha diritto di portare un bagaglio a mano gratuito di dimensioni massime di 40x30x20 cm a bordo (ad esempio: custodia per laptop, borsa da donna e zaino piccolo) da posizionare sotto al sedile"
Come si acquista il bagaglio online?,"Se ti occorre più spazio, puoi aggiungere un bagaglio da stiva alla prenotazione pagando il supplemento. Puoi aggiungere fino a 3 bagagli da stiva online e altri 3 in aeroporto. Un passeggero può avere un solo tipo di bagaglio per ciascun volo (ad esempio: 1 bagaglio x 10 kg, 2 bagagli x 20 kg/ciascuno, 3 bagagli x 32 kg/ciascuno)"
Posso portare un bagaglio aggiuntivo se viaggio con un neonato?,"Sì, l'adulto che viaggia con un neonato ha diritto di portare un bagaglio a mano aggiuntivo gratuitamente (40x30x20 cm)."
"Se aggiungo il servizio WIZZ Priority, il bagaglio a mano e il trolley sono entrambi garantiti in cabina? Come posso essere sicuro che i bagagli viaggeranno con me a bordo?","Sì, se un passeggero ha acquistato WIZZ Priority (o ha diritto a WIZZ Priority tramite i pacchetti WIZZ GO o WIZZ Plus), sia il bagaglio a mano gratuito (max 40x30x20 cm) sia il trolley (max 55x40x23 cm, anche senza ruote, tuttavia in caso di ruote le dimensioni e il peso complessivi devono rientrare nei limiti) possono essere portati in cabina. Questo è consentito in tutti i casi, salvo circostanze operative eccezionali."
"Se non aggiungo WIZZ Priority alla prenotazione, come posso portare con me farmaci, documenti e denaro in cabina? Posso portare un altro bagaglio, ad esempio una borsetta da donna?","Tutti i passeggeri hanno diritto di portare a bordo un bagaglio a mano gratuito delle dimensioni massime di 40x30x20 cm, in cui posizionare tutti gli effetti personali. Si consiglia a tutti i passeggeri di estrarre tutti gli effetti essenziali dal bagaglio da stiva e di portarli con sé in cabina."
Cosa fare se il servizio WIZZ Priority è esaurito?,"Se il servizio WIZZ Priority è esaurito si consiglia ai passeggeri di acquistare uno dei nostri ""pacchetti"" durante la prenotazione, di aggiungere un bagaglio da stiva o di fare le valige in modo intelligente e portare solo un bagaglio a mano piccolo (max 40x30x20 cm). Tutti i passeggeri senza WIZZ Priority possono comunque portare a bordo un bagaglio a mano gratuito non più grande di 40x30x20 cm."
Dove viene posizionato il bagaglio a mano (max 40x30x20 cm) a bordo?,"Il bagaglio a mano deve essere posizionato sotto al sedile davanti al passeggero, a meno che non vi sia spazio nella cappelliera al termine dell'imbarco."
Quanti bagagli posso imbarcare?,"Puoi imbarcare fino a sei bagagli. Ogni bagaglio è soggetto a un supplemento. Puoi pagare fino a 3 bagagli online e i rimanenti 3 in aeroporto, ma con tariffa maggiorata. Se hai prenotato un numero inferiore di bagagli durante la prenotazione iniziale, puoi aggiungerne altri online o tramite il call center di Wizz Air. Un passeggero può avere un solo tipo di bagaglio per ciascun volo (ad esempio: 1 bagaglio x 10 kg, 2 bagagli x 20 kg/ciascuno, 3 bagagli x 32 kg/ciascuno)"
Posso ottenere un rimborso per il supplemento di un bagaglio da stiva inutilizzato?,"No. Se i bagagli imbarcati sono inferiori ai supplementi acquistati, gli importi pagati non sono rimborsabili."
Ho già una prenotazione. Come acquistare supplementi per bagagli aggiuntivi?,"Puoi aggiungere bagagli alla tua prenotazione tramite il nostro sito Web e tramite il Call center di Wizz Air . Ricorda che se acquisti il supplemento bagagli in aeroporto, potresti dover pagare una tariffa maggiorata. Informazioni precise sulle tariffe maggiorate addebitate dall'agente di gestione possono essere chieste in aeroporto."
Il bagaglio da stiva è incluso nel prezzo del volo?,"La tariffa Basic esclude qualsiasi bagaglio da stiva, ma le tariffe WIZZ GO e WIZZ Plus includono il bagaglio da stiva nel prezzo del volo."
Ho prenotato un bagaglio da stiva pesante (32 kg) e vorrei aggiungere un altro bagaglio da stiva leggero (20 kg) per lo stesso volo. Posso farlo?,Non è possibile imbarcare in stiva due diversi tipi di bagaglio. Aggiungi un altro bagaglio pesante.
Posso portare un altro bagaglio piccolo o la custodia del computer oltre al bagaglio a mano?,"No, ogni passeggero ha diritto di portare a bordo un solo bagaglio a mano gratuito di dimensioni massime di 40x30x20 cm. Se acquisti il servizio WIZZ Priority (o ne hai diritto con i pacchetti WIZZ Privilege Pass, WIZZ GO o WIZZ Plus) potrai portare un bagaglio a mano gratuito (40x30x20 cm) e un trolley (55x40x23 cm, anche senza ruote, tuttavia in caso di ruote le dimensioni e il peso complessivi devono rientrare nei limiti). Entrambi i bagagli sono garantiti in cabina, fatte salve eventuali restrizioni operative. Consigliamo a tutti i passeggeri di portare in cabina gli effetti personali essenziali (ad esempio articoli per l'igiene personale, passaporto e altri documenti), eventuali oggetti di valore, come gioielli, telefonini, videocamere. I computer portatili e i dispositivi elettronici devono essere portati in cabina."
Come posso essere sicuro che il mio bagaglio a mano verrà trasportato in cabina?,"I passeggeri possono viaggiare con un bagaglio a mano gratuito (dimensioni massime di 40x30x20 cm) da posizionare in cabina sotto al sedile davanti. Se acquisti il servizio WIZZ Priority (o ne hai diritto con i pacchetti WIZZ Privilege Pass, WIZZ GO o WIZZ Plus) potrai portare un bagaglio a mano gratuito (40x30x20 cm) e un trolley (55x40x23 cm, anche senza ruote, tuttavia in caso di ruote le dimensioni e il peso complessivi devono rientrare nei limiti). Entrambi i bagagli sono garantiti in cabina, fatte salve eventuali restrizioni operative. Consigliamo a tutti i passeggeri di portare in cabina gli effetti personali essenziali (ad esempio articoli per l'igiene personale, passaporto e altri documenti), eventuali oggetti di valore, come gioielli, telefonini, videocamere."
Il mio bagaglio a mano è stato caricato nella stiva e il mio computer portatile/gioielli/farmaci è stato smarrito o danneggiato. Ho diritto a un rimborso? Le esclusioni per i bagagli da stiva si applicano al mio caso?,"Se il bagaglio a mano è stato caricato nella stiva e viene smarrito o danneggiato, puoi segnalare gli articoli danneggiati o smarriti quando arrivi al banco Bagagli smarriti o Ritiro bagaglio. Non possiamo compensare la perdita di oggetti preziosi (articoli esclusi dalla stiva) come gioielli e computer portatili. Consigliamo di rimuovere questi articoli dal tuo bagaglio prima di essere caricato nella stiva."
Cosa devo fare se ho del cibo nel mio bagaglio e lo caricano nella stiva?,"A bordo si vendono snack e bevande, tuttavia, se desideri portare qualcosa da mangiare, ti consigliamo di rimuoverlo dal bagaglio prima che venga caricato nella stiva."
Posso portare liquidi nel bagaglio a mano?,"I liquidi trasportati nel bagaglio a mano sono soggetti alle seguenti restrizioni imposte dalle autorità: il contenitore del liquido non deve avere un volume maggiore di 100 ml tutti i contenitori di liquidi devono essere sistemati in una busta di plastica trasparente, richiudibile, del volume di 1 litro e di dimensioni pari a 20x20 cm. Le buste di plastica vanno esibite separatamente al controllo di sicurezza. Dovrai consegnare i liquidi che non soddisfano le restrizioni sopra indicate alla stazione di sicurezza dell'aeroporto."
Posso portare farmaci?,"Consigliamo a tutti i passeggeri di portare in cabina gli effetti personali essenziali (ad esempio articoli per l'igiene personale e farmaci), eventuali oggetti di valore, come gioielli, telefonini, videocamere. Se non hai acquistato WIZZ Priority e hai imbarcato il bagaglio a mano, prendi i tuoi effetti personali e portali con te in cabina. In caso di farmaci liquidi, controlla i regolamenti di sicurezza per il trasporto di liquidi a bordo. Se devi trasportare farmaci indispensabili, ad es. insulina, dovrai procurarti un certificato medico che attesti che hai bisogno di tale farmaco e presentare il documento ai controlli di sicurezza dell'aeroporto, se richiesto. Ricorda che l'equipaggio non può aiutarti a conservare farmaci che devono essere refrigerati."
Si possono portare animali sui voli Wizz Air?,"Gli animali non possono o viaggiare su voli Wizz Air, ad eccezione dei cani guida che viaggiano con i loro proprietari, che devono essere in possesso dei documenti indicati dai regolamenti dei paesi interessati al trasporto, nel rispetto delle condizioni imposte. Gli animali domestici non sono ammessi sui voli Wizz Air. Devi informarci della tua intenzione di viaggiare con un cane guida, chiamando il call center di Wizz Air."
Come posso trasportare oggetti fragili come articoli da cucina o oggetti di dimensioni e forme insolite?,"Devi informarci della tua intenzione di trasportare articoli speciali al momento della prenotazione, tramite il Call center di Wizz Air . Questi articoli devono essere trasportati con il nostro consenso. Se non segnali il trasporto di oggetti speciali, possiamo rifiutare il trasporto e non saremo responsabili dell'eventuale perdita, rottura, danneggiamento o arrivo ritardato di tali oggetti. Consulta l'elenco di articoli esclusi dal trasporto nelle Condizioni generali di trasporto (articolo 14.3)"
Cosa devo fare se il mio bagaglio subisce danni durante il viaggio?,"Presenta una denuncia di danni al tuo arrivo, prima di lasciare l'area di transito. Fai riparare il bagaglio e chiedi una ricevuta. Copriremo i costi della riparazione indicati sulla ricevuta. Se il bagaglio non può essere riparato, chiedi una dichiarazione scritta del negozio in cui si attesta il tipo e il valore del bagaglio. Quando segnali io problema all'aeroporto, ti viene fornita una lettera di istruzioni che dovrai seguire attentamente."
Cosa devo fare se il mio bagaglio viene smarrito?,"Vai al banco Bagagli smarriti o Ritiro bagaglio mentre sei ancora nell'area di transito e chiedi assistenza. Un nostro addetto ti fornirà un rapporto relativo al ritardo del bagaglio. Se necessario potrai presentare questo documento alla tua compagnia di assicurazione. Accertati che sul rapporto sia indicato il valore del bagaglio. Ti sarà fornito un numero di riferimento, che dovrai indicare in tutta la tua corrispondenza con Wizz Air. Alla segnalazione del problema in aeroporto, ti sarà fornita una lettera di istruzioni. Procedi seguendo le istruzioni."
Ho lasciato i miei effetti personali a bordo. Chi devo contattare?,Contattare l'ufficio oggetti smarriti all'aeroporto di partenza e di arrivo.
Posso portare oggetti di valore a bordo?,"Sì, puoi portarli. Se non hai acquistato WIZZ Priority e imbarcato il bagaglio, consigliamo a tutti i passeggeri di portare in cabina gli effetti personali essenziali presenti nel bagaglio a mano (ad esempio articoli per l'igiene personale, passaporto e altri documenti) ed eventuali oggetti di valore, come gioielli, telefonini, videocamere. Le dimensioni massime di tutti gli effetti personali insieme non possono superare 40x30x20 cm."
E se ho una borsa più piccola? Posso portare il mio zainetto a bordo?,"I passeggeri possono viaggiare con un bagaglio a mano gratuito. Se il bagaglio a mano è più piccolo di 40x30x20 cm, potrai portarlo a bordo ma dovrà essere posizionato sotto al sedile davanti a te."
Posso portare un bagaglio piccola in cabina se imbarco il bagaglio a mano?,"Se non hai acquistato WIZZ Priority e hai imbarcato il bagaglio a mano, non puoi portare un altro bagaglio piccolo in cabina. Consigliamo a tutti i passeggeri di portare in cabina gli effetti personali essenziali presenti nel bagaglio a mano (ad esempio articoli per l'igiene personale, passaporto e altri documenti) ed eventuali oggetti di valore, come gioielli, telefonini, videocamere. Le dimensioni massime di tutti gli effetti personali insieme non possono superare 40x30x20 cm."
"Se ho solo un bagaglio a mano e ho fatto il check-in online per il bagaglio da stiva, devo comunque andare al banco del check-in?","Sì, ma solo se non hai acquistato WIZZ Priority e il tuo bagaglio a mano supera le dimensioni di 40x30x20 cm, dovrai imbarcarlo presso il banco del check-in pagando il supplemento e potrai ritirarlo all'aeroporto di arrivo. Se il bagaglio a mano è più piccolo di 40x30x20 cm, potrai portarlo a bordo ma dovrà essere posizionato sotto al sedile."
Posso portare l'attrezzatura da sci/snowboard con me?,"Sì, puoi portare la tua attrezzatura da sci/snowboard come bagaglio da stiva. Un supplemento aggiuntivo di 30 EURO per passeggero per volo e per bagaglio."
Posso portare sia l'attrezzatura da sci sia quella per snowboard con me?,"No, è possibile portare solo un set di attrezzatura sportiva per passeggero per volo."
Posso portare l'attrezzatura da sci/snowboard senza imballaggio?,"No, è possibile portare l'attrezzatura da sci/snowboard solo imballata in apposita borsa. Wizz Air non offre materiale di imballaggio."
"Viene garantito che l'attrezzatura sportiva viaggerà con me?""","No, purtroppo è previsto un limite per le attrezzature sportive per ciascun volo. Pertanto si consiglia di aggiungere questo tipo di bagaglio nel momento in cui si prenota."
Cosa succede se l'attrezzatura da sci/snowboard risulta danneggiata dopo il volo?,Wizz Air declina ogni responsabilità per danni arrecati a oggetti fragili durante il trasporto. I bagagli che contengono tali oggetti possono essere trasportati come Bagaglio da stiva solo se muniti della Targhetta responsabilità limitata.
Posso aggiungere l'attrezzatura da sci/snowboard dopo la prenotazione?,"Sì, puoi aggiungere l'attrezzatura fino a 3 ore prima della partenza sul sito online o tramite il call center di Wizz Air. Se richiedi di aggiungere l'attrezzatura tramite il call center di Wizz Air verrà applicato un supplemento a copertura delle spese del call center. Le spese del call center non sono rimborsabili."
